rh0,rh1,powerAsymptote0,powerA0,powerB0,powerAsymptote1,powerA1,powerB1,inverseAsymptote0,inverseA0,inverseB0,inverseAsymptote1,inverseA1,inverseB1,baseline,stimulus,label,,,,,,,,,,,,,,,,
42.7,42.75,115.577107114827,12.6317534003187,0.961408181215391,625.015177990872,1.16807020059321,1.16478620267877,890.705627673926,878.583756336139,2424.37426755744,776.747485454241,379.047806674056,171010.861875479,949.37,930.99,0,,,,,,,,,,,,,,,,
40.73,41.08,102.537227347397,11.9365562775953,0.934002519782871,546.11204515494,1.16426517833352,1.14037055264548,744.163977130517,734.118789507943,2009.03752451491,675.345020279661,335.892455960539,145964.602657222,802.37,811.56,0,,,,,,,,,,,,,,,,
39.79,40.58,102.607372537235,11.9730973856096,0.932972051851381,539.05736519077,1.1640563888633,1.1379931501102,744.901497129849,735.790282487073,1822.24292855532,666.957884797773,333.814371242317,143251.710828845,801.06,803.25,0,,,,,,,,,,,,,,,,
33.96,9.86,55.5294238540279,8.51921157542723,0.814123763347251,189.764819076628,1.0992090728442,0.955051970193134,308.700369106099,304.356467301662,868.780360887286,206.554274997075,58.9190216729773,63483.1589293623,330.2,232.42,0,,,,,,,,,,,,,,,,
26.43,8.66,56.5427009683368,8.50030011195035,0.822942291104847,163.253106025649,1.1119042577297,0.925022660228512,319.772596352973,314.966805615016,961.158147591377,174.455459304815,51.4199253861945,52905.2795850071,337.2,198.29,0,,,,,,,,,,,,,,,,
26.99,8.22,41.048695613443,7.14136435712126,0.759518169656699,130.301914091684,1.09122560694126,0.886704292834668,201.176963476735,197.847134818819,665.965731583079,138.551420667927,42.0999972379671,41474.1120748829,213.28,156.4,0,,,,,,,,,,,,,,,,
25.36,7.83,37.6802414954119,7.0605205433548,0.727276956563429,119.591261240349,1.08726491756242,0.871475540171328,173.10578974221,170.725558213928,476.046305656514,127.451124214085,39.3336060512113,37890.5328100358,191.62,144.7,0,,,,,,,,,,,,,,,,
25.33,7.53,31.9258684102585,6.2799468185253,0.706186753320808,108.576108433498,1.07720345452098,0.855283954768738,139.43412416442,137.308366997516,425.151433380821,115.424365428393,35.0212359695074,34573.3456673211,148.42,132.02,0,,,,,,,,,,,,,,,,
22.84,7.12,30.6228618464786,6.1533112361406,0.696936892688721,101.261044045571,1.0740269592848,0.842899633027035,131.048308057733,129.052738405234,399.11393049995,106.932079083914,32.0662617305533,32192.3014619451,140,120.97,0,,,,,,,,,,,,,,,,
23.82,7.4,31.8347135906664,6.2646588912615,0.706003518199696,100.321657904187,1.07835395655963,0.840426188081151,138.870503813782,136.691122505866,435.876261583344,105.39320443096,31.2883631950607,31865.0817314368,147.76,120.31,0,,,,,,,,,,,,,,,,
25.43,7.47,30.5755172116695,6.08980334709387,0.700770543689966,93.5396737843636,1.08391808594257,0.82649446830502,131.585957790739,129.406362166166,435.919124914554,98.0583676353503,30.6284330580423,28994.8718682424,139.23,113.09,0,,,,,,,,,,,,,,,,
22.33,6.99,28.6382786268812,5.89492123826191,0.686468903214581,91.5226197986537,1.07860044003296,0.823364572839256,119.494162412334,117.554860029608,387.860476545265,96.3927310749269,31.1678734959258,28046.6887589704,126.87,110.25,0,,,,,,,,,,,,,,,,
21.19,6.68,29.1363674321604,5.94524333447917,0.69026577059988,92.9221507395724,1.0770599850832,0.82644322812245,122.570245842876,120.569549208574,400.139326860282,97.5981761363049,29.6950303490117,29198.352688536,130.05,110.03,0,,,,,,,,,,,,,,,,
20.77,6.91,30.7500299838825,6.12122569525237,0.70100715095194,95.2400043729166,1.07907132046085,0.830665307582377,132.306865181469,130.067376227984,447.89779069709,99.7405324141399,30.6389288892488,29713.6895157031,141.09,113.75,0,,,,,,,,,,,,,,,,
20.82,6.47,30.4187071408859,6.40892735497746,0.676355402783674,94.0102705914466,1.06748322348224,0.830257604763857,126.059014486543,124.816350031178,248.532891072988,98.7633306605604,28.8413387337376,30066.4565285338,138.69,111.67,0,,,,,,,,,,,,,,,,
19.91,6.45,28.3082575732398,5.90811842620918,0.680463946530302,87.9507257537125,1.07656171090608,0.816334521343222,116.728225155021,114.907287591024,364.187512799447,92.0285399396238,28.3610177277704,27377.0345510969,125.45,105.55,0,,,,,,,,,,,,,,,,
18.92,6.47,39.5631808627029,6.98229705848506,0.753292879696189,105.240665559534,1.09607961531323,0.846278300371187,191.625456024305,188.66811147987,591.468908886992,109.330755291346,31.5237672746604,33457.0048471748,201.03,123.37,0,,,,,,,,,,,,,,,,
21.02,6.53,33.157610045435,6.33131794757018,0.719089096093597,96.9838142761531,1.08424907927053,0.83314177856781,148.447692374148,145.925532149561,504.432044917431,100.948231267291,29.4491229877003,30744.6165602243,156.3,114.73,0,,,,,,,,,,,(chronological order ^),,,,,
20.79,6.7,28.2591591207691,5.81128799899191,0.686886835867137,87.924424476759,1.07562168991157,0.816441028651515,117.744694330904,115.702568223353,408.425221510184,91.6494723255205,27.3340321882371,27655.6392590318,124.25,104.34,0,,,,,,,,,,,,,,,,
